image_id,image_path,caption,concept,frac
112956,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000112956.jpg,A large passenger jet flying through a blue sky.,airplane,0
388643,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000388643.jpg,A view of the wing of an airplane.,airplane,0
78979,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000078979.jpg,A small airplane is on display in a museum.,airplane,0
263346,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000263346.jpg,A large passenger jet taking off from an airport runway.,airplane,0
192788,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000192788.jpg,A large passenger jet flying through a cloudy sky.,airplane,0
8180,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000008180.jpg,A large jetliner sitting on top of an airport runway.,airplane,0
144064,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000144064.jpg,A view of a plane wing and the clouds.,airplane,0
393410,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000393410.jpg,A large white airplane flying through a blue sky.,airplane,0
217060,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000217060.jpg,A plane flying through a blue sky with smoke coming from it.,airplane,0
252582,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000252582.jpg,A plane flying in the sky with a blue sky background.,airplane,0
36478,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000036478.jpg,A view of a plane wing flying over a mountain range.,airplane,0
561014,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561014.jpg,A small airplane flying through a blue sky.,airplane,0
409052,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000409052.jpg,A large jetliner sitting on top of an airport runway.,airplane,0
349804,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000349804.jpg,A couple of military jets flying over a park.,airplane,0
560623,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000560623.jpg,An airport terminal with planes parked and a window.,airplane,0
46011,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000046011.jpg,A small airplane is parked on the tarmac.,airplane,0
144122,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000144122.jpg,A red airplane flying through a blue sky.,airplane,0
283495,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000283495.jpg,A plane flying over a forest with a jungle in the background.,airplane,0
141587,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000141587.jpg,A large jetliner flying over a tall building.,airplane,0
280360,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000280360.jpg,A blue and yellow plane flying in the sky.,airplane,0
111830,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000111830.jpg,A plane flying in the sky with clouds.,airplane,0
220255,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000220255.jpg,A large passenger jet sitting on top of an airport runway.,airplane,0
391006,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000391006.jpg,A large jetliner flying over a lush green field.,airplane,0
561100,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561100.jpg,A small airplane is flying in the sky.,airplane,0
8888,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000008888.jpg,A row of airplanes parked on top of an airport tarmac.,airplane,0
189828,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000189828.jpg,A plane flying over a tree filled forest.,airplane,0
344397,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000344397.jpg,A large jetliner flying through a cloudy blue sky.,airplane,0
167544,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000167544.jpg,A blue and white airplane is flying in the sky.,airplane,0
233079,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000233079.jpg,A room with a large window and a large window.,airplane,0
212351,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000212351.jpg,A large jetliner flying through a cloudy sky.,airplane,0
483767,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000483767.jpg,A red and white plane flying in the sky.,airplane,0
61207,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000061207.jpg,A plane flying over a small village with a house in the background.,airplane,0
67569,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000067569.jpg,A small plane is parked on the runway.,airplane,0
504811,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000504811.jpg,A black and white photo of a plane flying over a church.,airplane,0
115178,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000115178.jpg,A red airplane is flying in the sky.,airplane,0
150717,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000150717.jpg,A row of airplanes parked on a runway.,airplane,0
396051,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000396051.jpg,A group of planes parked on top of an airport tarmac.,airplane,0
420958,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000420958.jpg,A view of a mountain range from an airplane.,airplane,0
377314,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000377314.jpg,A large jetliner flying through a blue sky.,airplane,0
336384,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000336384.jpg,A large passenger jet sitting on top of an airport runway.,airplane,0
487222,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000487222.jpg,A plane flying over a tree filled forest.,airplane,0
572733,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000572733.jpg,A large jetliner flying through a blue sky.,airplane,0
411630,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000411630.jpg,A large jetliner sitting on top of an airport tarmac.,airplane,0
18975,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000018975.jpg,A large jetliner sitting on top of an airport runway.,airplane,0
53454,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000053454.jpg,A red and white airplane flying in the sky.,airplane,0
244487,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000244487.jpg,Two large commercial airplanes parked on a runway.,airplane,0
11081,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000011081.jpg,A military jet flying through a cloudy sky.,airplane,0
480605,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000480605.jpg,A large jetliner flying through a blue sky.,airplane,0
172851,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000172851.jpg,A large jetliner taking off from an airport runway.,airplane,0
46432,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000046432.jpg,A view of a wing over a mountain range.,airplane,0
393869,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000393869.jpg,A large jetliner sitting on top of an airport tarmac.,airplane,0
268944,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000268944.jpg,A small airplane sitting on top of an airport tarmac.,airplane,0
